id,chain,host,location,year,subtype
AEW25367,A,,Zhejiang,2009,H1N1
AEW25528,A,,Zhejiang,2009,H1N1
AEW25590,A,,Zhejiang,2009,H1N1
AEW31134,A,,Minnesota,2011,H1N2
AEX30517,A,swine,Shepparton,2009,H1N1
AEX30519,A,swine,Henan,2010,H1N2
AEX30540,A,swine,Hong Kong,2011,H3N2
AEX30611,A,avian,Sheny,2008,H5N1
AEX33924,A,,HaNoi,2006,H1N1
AEX34650,A,,HaNoi,2005,H1N1
AEX34768,A,,TayNguyen,2006,H1N1
AEX35120,A,,HaNoi,2008,H1N1
AEX35428,A,,HaNoi,2004,H3N2
AEX38474,A,,Wisconsin,2011,H1N1
AEX63617,A,swine,Jiangsu,2011,H1N1
AEY75592,A,avian,Malaysia,1997,H9N2
AEZ01103,A,,Hangzhou,2011,H1N1
AEZ01107,A,,Hangzhou,2011,H1N1
AEZ02122,A,swine,North Carolina,2009,H3N2
AEZ54197,A,swine,Iowa,2011,H1N2
AFA51661,A,avian,Egypt,2011,H9N2
AFB18647,A,avian,,2011,H5N1
AFB70317,A,,Argentina,2009,H1N1
AFB77618,A,,Kenya,2011,H1N1
AFC18325,A,avian,England,2010,H9N1
AFC98271,A,swine,North Carolina,2010,H1N2
AFC98273,A,swine,North Carolina,2011,H1N2
AFD32574,A,swine,Indiana,2010,H3N2
AFD64223,A,,Fujian,2002,H3N2
AFE02952,A,,Taiwan,2011,H1N1
AFE48437,A,avian,Taiwan,2005,H5N2
AFF57124,A,,Gyeonggi,2010,H1N1
AFG71942,A,,Hong Kong,1971,H3N2
AFG71953,A,,Bilthoven,1972,H3N2
AFG71996,A,,Bilthoven,1974,H3N2
AFG72085,A,,Sichuan,1987,H3N2
AFG72096,A,,Beijing,1989,H3N2
AFG72173,A,,Amsterdam,1992,H3N2
AFG72350,A,,Netherlands,1993,H3N2
AFG72735,A,,Oslo,1997,H3N2
AFG72823,A,,Fujian,2002,H3N2
AFG98830,A,,Bilthoven,1971,H3N2
AFG98863,A,,England,1972,H3N2
AFG98940,A,,Bilthoven,1974,H3N2
AFG99006,A,,Bilthoven,1976,H3N2
AFG99094,A,,Rotterdam,1977,H3N2
AFG99138,A,,Bilthoven,1982,H3N2
